"Country or Area","Year","Value","Value Footnotes"
"Albania","2013","2531.8885389063",""
"Albania","2012","2118.44025698501",""
"Albania","2011","2195.00271965519",""
"Albania","2010","1947.46278863077",""
"Albania","2009","1837.39200326283",""
"Albania","2008","1617.7441562046",""
"Albania","2007","1213.12436932179",""
"Albania","2006","1218.36014605619",""
"Albania","2005","1722.07284972507",""
"Albania","2004","1797.52548696885",""
"Albania","2003","1469.26453867857",""
"Albania","2002","1561.12238242418",""
"Albania","2001","1338.81319781594",""
"Albania","2000","1436.69835194059",""
"Albania","1999","1404.41035030485",""
"Albania","1998","721.744717167488",""
"Albania","1997","680.688921986316",""
"Albania","1996","886.670056782868",""
"Albania","1995","645.27584052119",""
"Albania","1994","584.8726249682",""
"Albania","1993","521.800509220283",""
"Albania","1992","442.249076774255",""
"Albania","1991","398.250270142862",""
"Albania","1990","522.433609550707",""
"Albania","1989","1021.39350044285",""
"Albania","1988","1005.93953033667",""
"Albania","1987","1161.95167669011",""
"Albania","1986","1420.61479470727",""
"Albania","1985","796.353973775973",""
"Albania","1984","1018.1002875264",""
"Albania","1983","1070.69016441863",""
"Albania","1982","1096.87322889453",""
"Albania","1981","1123.96810630449",""
"Albania","1980","1142.96535512577",""
"Albania","1979","1065.76739836628",""
"Albania","1978","1098.48316581368",""
"Albania","1977","1067.81415577833",""
"Albania","1976","908.67454726938",""
"Albania","1975","739.345093272667",""
"Albania","1974","591.032643383924",""
"Albania","1973","593.446745665183",""
"Albania","1972","568.403201603477",""
"Albania","1971","532.02843152625",""
"Algeria","2013","1277.37462825185",""
"Algeria","2012","1236.1300294473",""
"Algeria","2011","1121.62899869195",""
"Algeria","2010","1014.98053663266",""
"Algeria","2009","864.645544759177",""
"Algeria","2008","945.101957398079",""
"Algeria","2007","891.805086169736",""
"Algeria","2006","859.661561261309",""
"Algeria","2005","887.462434869999",""
"Algeria","2004","801.042745082803",""
"Algeria","2003","783.240910309115",""
"Algeria","2002","727.718611219051",""
"Algeria","2001","705.975754598244",""
"Algeria","2000","680.196018055355",""
"Algeria","1999","649.764089578972",""
"Algeria","1998","615.554401111782",""
"Algeria","1997","572.910938630743",""
"Algeria","1996","567.696565998474",""
"Algeria","1995","557.079742460464",""
"Algeria","1994","548.092228284909",""
"Algeria","1993","545.023124434314",""
"Algeria","1992","556.640446436675",""
"Algeria","1991","529.40624216581",""
"Algeria","1990","528.434997285466",""
"Algeria","1989","519.010640371395",""
"Algeria","1988","478.986778069961",""
