"Country or Area","Year(s)","Variant","Value"
"Afghanistan","2030","Constant-fertility scenario","39.914"
"Afghanistan","2030","High variant","39.914"
"Afghanistan","2030","Low variant","39.914"
"Afghanistan","2030","Medium variant","39.914"
"Afghanistan","2025","Constant-fertility scenario","36.598"
"Afghanistan","2025","High variant","36.598"
"Afghanistan","2025","Low variant","36.598"
"Afghanistan","2025","Medium variant","36.598"
"Afghanistan","2020","Constant-fertility scenario","33.309"
"Afghanistan","2020","High variant","33.309"
"Afghanistan","2020","Low variant","33.309"
"Afghanistan","2020","Medium variant","33.309"
"Afghanistan","2015","Constant-fertility scenario","30.086"
"Afghanistan","2015","High variant","30.086"
"Afghanistan","2015","Low variant","30.086"
"Afghanistan","2015","Medium variant","30.086"
"Afghanistan","2010","Constant-fertility scenario","26.969"
"Afghanistan","2010","High variant","26.969"
"Afghanistan","2010","Low variant","26.969"
"Afghanistan","2010","Medium variant","26.969"
"Afghanistan","2005","Medium variant","24.234"
"Afghanistan","2000","Medium variant","21.88"
"Afghanistan","1995","Estimate variant","19.893"
"Afghanistan","1990","Estimate variant","18.245"
"Afghanistan","1985","Estimate variant","16.907"
"Afghanistan","1980","Estimate variant","15.648"
"Afghanistan","1975","Estimate variant","13.266"
"Afghanistan","1970","Estimate variant","11.032"
"Afghanistan","1965","Estimate variant","9.353"
"Afghanistan","1960","Estimate variant","7.993"
"Afghanistan","1955","Estimate variant","6.815"
"Afghanistan","1950","Estimate variant","5.8"
"Africa","2030","Constant-fertility scenario","52.874"
"Africa","2030","High variant","52.874"
"Africa","2030","Low variant","52.874"
"Africa","2030","Medium variant","52.874"
"Africa","2025","Constant-fertility scenario","50.406"
"Africa","2025","High variant","50.406"
"Africa","2025","Low variant","50.406"
"Africa","2025","Medium variant","50.406"
"Africa","2020","Constant-fertility scenario","47.881"
"Africa","2020","High variant","47.881"
"Africa","2020","Low variant","47.881"
"Africa","2020","Medium variant","47.881"
"Africa","2015","Constant-fertility scenario","45.338"
"Africa","2015","High variant","45.338"
"Africa","2015","Low variant","45.338"
"Africa","2015","Medium variant","45.338"
"Africa","2010","Constant-fertility scenario","42.689"
"Africa","2010","High variant","42.689"
"Africa","2010","Low variant","42.689"
"Africa","2010","Medium variant","42.689"
"Africa","2005","Medium variant","39.962"
"Africa","2000","Medium variant","37.2"
"Africa","1995","Estimate variant","34.517"
"Africa","1990","Estimate variant","31.841"
"Africa","1985","Estimate variant","29.573"
"Africa","1980","Estimate variant","27.427"
"Africa","1975","Estimate variant","25.241"
"Africa","1970","Estimate variant","23.12"
"Africa","1965","Estimate variant","20.821"
"Africa","1960","Estimate variant","18.486"
"Africa","1955","Estimate variant","16.477"
"Africa","1950","Estimate variant","14.667"
"Albania","2030","Constant-fertility scenario","60.482"
"Albania","2030","High variant","60.482"
"Albania","2030","Low variant","60.482"
"Albania","2030","Medium variant","60.482"
"Albania","2025","Constant-fertility scenario","57.754"
"Albania","2025","High variant","57.754"
"Albania","2025","Low variant","57.754"
"Albania","2025","Medium variant","57.754"
"Albania","2020","Constant-fertility scenario","54.885"
"Albania","2020","High variant","54.885"
"Albania","2020","Low variant","54.885"
"Albania","2020","Medium variant","54.885"
"Albania","2015","Constant-fertility scenario","51.885"
"Albania","2015","High variant","51.885"
"Albania","2015","Low variant","51.885"
"Albania","2015","Medium variant","51.885"
"Albania","2010","Constant-fertility scenario","48.746"
"Albania","2010","High variant","48.746"
"Albania","2010","Low variant","48.746"
"Albania","2010","Medium variant","48.746"
"Albania","2005","Medium variant","45.529"
"Albania","2000","Medium variant","42.304"
"Albania","1995","Estimate variant","39.141"
"Albania","1990","Estimate variant","36.101"
"Albania","1985","Estimate variant","34.724"
"Albania","1980","Estimate variant","33.703"
"Albania","1975","Estimate variant","32.712"
"Albania","1970","Estimate variant","31.741"
"Albania","1965","Estimate variant","31.234"
"Albania","1960","Estimate variant","30.606"
"Albania","1955","Estimate variant","25.13"
"Albania","1950","Estimate variant","20.346"
"Algeria","2030","Constant-fertility scenario","71.719"
"Algeria","2030","High variant","71.719"
"Algeria","2030","Low variant","71.719"
"Algeria","2030","Medium variant","71.719"
"Algeria","2025","Constant-fertility scenario","69.704"
"Algeria","2025","High variant","69.704"
"Algeria","2025","Low variant","69.704"
"Algeria","2025","Medium variant","69.704"
"Algeria","2020","Constant-fertility scenario","67.548"
"Algeria","2020","High variant","67.548"
"Algeria","2020","Low variant","67.548"
"Algeria","2020","Medium variant","67.548"
"Algeria","2015","Constant-fertility scenario","65.187"
"Algeria","2015","High variant","65.187"
"Algeria","2015","Low variant","65.187"
"Algeria","2015","Medium variant","65.187"
"Algeria","2010","Constant-fertility scenario","62.644"
"Algeria","2010","High variant","62.644"
"Algeria","2010","Low variant","62.644"
"Algeria","2010","Medium variant","62.644"
"Algeria","2005","Medium variant","59.951"
"Algeria","2000","Medium variant","57.149"
"Algeria","1995","Estimate variant","54.29"
"Algeria","1990","Estimate variant","51.403"
"Algeria","1985","Estimate variant","47.969"
"Algeria","1980","Estimate variant","43.542"
"Algeria","1975","Estimate variant","40.33"
"Algeria","1970","Estimate variant","39.5"
"Algeria","1965","Estimate variant","37.628"
"Algeria","1960","Estimate variant","30.44"
"Algeria","1955","Estimate variant","26.143"
"Algeria","1950","Estimate variant","22.259"
"American Samoa","2030","Constant-fertility scenario","67.919"
"American Samoa","2030","High variant","67.919"
"American Samoa","2030","Low variant","67.919"
"American Samoa","2030","Medium variant","67.919"
"American Samoa","2025","Constant-fertility scenario","65.643"
"American Samoa","2025","High variant","65.643"
"American Samoa","2025","Low variant","65.643"
"American Samoa","2025","Medium variant","65.643"
"American Samoa","2020","Constant-fertility scenario","63.219"
"American Samoa","2020","High variant","63.219"
"American Samoa","2020","Low variant","63.219"
"American Samoa","2020","Medium variant","63.219"
"American Samoa","2015","Constant-fertility scenario","60.646"
"American Samoa","2015","High variant","60.646"
"American Samoa","2015","Low variant","60.646"
"American Samoa","2015","Medium variant","60.646"
"American Samoa","2010","Constant-fertility scenario","57.926"
"American Samoa","2010","High variant","57.926"
"American Samoa","2010","Low variant","57.926"
"American Samoa","2010","Medium variant","57.926"
"American Samoa","2005","Medium variant","55.259"
"American Samoa","2000","Medium variant","52.697"
"American Samoa","1995","Estimate variant","50.296"
"American Samoa","1990","Estimate variant","48.098"
"American Samoa","1985","Estimate variant","46.142"
"American Samoa","1980","Estimate variant","44.198"
"American Samoa","1975","Estimate variant","43.002"
"American Samoa","1970","Estimate variant","41.856"
"American Samoa","1965","Estimate variant","40.719"
"American Samoa","1960","Estimate variant","39.59"
"American Samoa","1955","Estimate variant","38.475"
"American Samoa","1950","Estimate variant","37.372"
"Andorra","2030","Constant-fertility scenario","92.023"
"Andorra","2030","High variant","92.023"
"Andorra","2030","Low variant","92.023"
"Andorra","2030","Medium variant","92.023"
"Andorra","2025","Constant-fertility scenario","91.502"
"Andorra","2025","High variant","91.502"
"Andorra","2025","Low variant","91.502"
"Andorra","2025","Medium variant","91.502"
"Andorra","2020","Constant-fertility scenario","91.299"
"Andorra","2020","High variant","91.299"
"Andorra","2020","Low variant","91.299"
"Andorra","2020","Medium variant","91.299"
"Andorra","2015","Constant-fertility scenario","91.299"
"Andorra","2015","High variant","91.299"
"Andorra","2015","Low variant","91.299"
"Andorra","2015","Medium variant","91.299"
"Andorra","2010","Constant-fertility scenario","91.299"
"Andorra","2010","High variant","91.299"
"Andorra","2010","Low variant","91.299"
"Andorra","2010","Medium variant","91.299"
"Andorra","2005","Medium variant","91.298"
"Andorra","2000","Medium variant","92.404"
"Andorra","1995","Estimate variant","93.416"
"Andorra","1990","Estimate variant","94.437"
"Andorra","1985","Estimate variant","95.349"
"Andorra","1980","Estimate variant","95.899"
"Andorra","1975","Estimate variant","96.39"
"Andorra","1970","Estimate variant","96.819"
"Andorra","1965","Estimate variant","97.204"
"Andorra","1960","Estimate variant","97.544"
"Andorra","1955","Estimate variant","97.844"
"Andorra","1950","Estimate variant","98.103"
"Angola","2030","Constant-fertility scenario","53.568"
"Angola","2030","High variant","53.568"
"Angola","2030","Low variant","53.568"
"Angola","2030","Medium variant","53.568"
"Angola","2025","Constant-fertility scenario","50.515"
"Angola","2025","High variant","50.515"
"Angola","2025","Low variant","50.515"
"Angola","2025","Medium variant","50.515"
"Angola","2020","Constant-fertility scenario","47.356"
"Angola","2020","High variant","47.356"
"Angola","2020","Low variant","47.356"
"Angola","2020","Medium variant","47.356"
