"Country or Area","Year","Value","Value Footnotes","Value Footnotes"
"Afghanistan","2011","38.3","1","1"
"Afghanistan","2007","38.2","2","2"
"Albania","2012","15.3","3","3"
"Albania","2008","14.6","4","4"
"Albania","2005","24.2","4","4"
"Albania","2002","29.6","4","4"
"Angola","2008","58.3","5","5"
"Armenia","2013","31.7","6","6"
"Armenia","2012","32.1","7","7"
"Armenia","2011","34.5","8","8"
"Armenia","2010","36","9","9"
"Armenia","2009","34.9","10","10"
"Armenia","2008","27.5","11","11"
"Armenia","2001","47.9","12","12"
"Azerbaijan","2001","42.5","13","13"
"Bangladesh","2010","35.16","14","14"
"Bangladesh","2005","43.8","15","15"
"Bangladesh","2000","52.3","15","15"
"Bangladesh","1995","54.5","15","15"
"Bangladesh","1991","58.7","15","15"
"Belarus","2013","9","16","16"
"Belarus","2012","9.4","16","16"
"Belarus","2011","11.5","17","17"
"Belarus","2010","8.9","17","17"
"Belarus","2009","9.5","18","18"
"Belarus","2008","9.7","19","19"
"Belarus","2007","12.4","20","20"
"Belarus","2006","15.5","21","21"
"Belarus","2005","16.7","22","22"
"Belarus","2000","50.8","18","18"
"Benin","2011","39.7","23","23"
"Benin","2010","38.4","23","23"
"Benin","2007","36.1","24","24"
"Benin","2006","38.8","25","25"
"Bhutan","2012","16.7","26","26"
"Bhutan","2007","30.9","27","27"
"Bolivia","2011","61.34619","28","28"
"Bolivia","2009","66.4","29","29"
"Bolivia","2008","73.6","29","29"
"Bolivia","2007","77.3","29","29"
"Bolivia","2006","76.5","29","29"
"Bolivia","2005","77.595583","28","28"
"Bolivia","2004","77.7","30","30"
"Bolivia","2002","78.8","29","29"
"Bolivia","2001","77.7","29","29"
"Bolivia","2000","87","29","29"
"Bolivia","1999","84","29","29"
"Botswana","2009","24.3","31","31"
"Botswana","2003","44.8","32","32"
"Botswana","1994","40.4","33","33"
"Burkina Faso","2009","52.8","34","34"
"Burkina Faso","2003","65.8","35","35"
"Burundi","2006","68.9","36","36"
"Cambodia","2012","20.8","37","37"
"Cambodia","2011","23.6","38","38"
"Cambodia","2010","25.3","39","39"
"Cambodia","2009","27.5","40","40"
"Cambodia","2008","38.5","41","41"
"Cambodia","2007","51.4","42","42"
"Cambodia","2004","54.2","43","43"
"Cameroon","2007","55","44","44"
"Cameroon","2001","52.1","44","44"
"Cameroon","1996","59.6","44","44"
"Cape Verde","2007","44.3","45","45"
"Central African Republic","2008","69.4","46","46"
"Chad","2011","52.5","47","47"
"Chad","2002","58.4","48","48"
"Chile","2013","27.9","49","49"
"Chile","2011","37.7","49","49"
"Chile","2009","43.6","49","49"
"Chile","2006","51.8","49","49"
"China","2013","8.5","",""
"China","2012","10.2","50","50"
"China","2011","12.7","51","51"
"China","2010","17.2","",""
"Colombia","2013","42.8","52","52"
"Colombia","2012","46.8","53","53"
"Colombia","2011","46.1","54","54"
"Colombia","2010","49.7","54","54"
"Colombia","2009","53.7","54","54"
"Colombia","2008","56.7","54","54"
"Colombia","2005","56.4","55","55"
"Colombia","2004","58.3","55","55"
"Colombia","2003","56.8","55","55"
"Colombia","2002","61.7","55","55"
"Comoros","2004","48.7","56","56"
"Congo","2011","74.8","57","57"
"Congo","2005","65.2","58","58"
"Costa Rica","2014","30.3","59","59"
"Costa Rica","2013","27.8","60","60"
"Costa Rica","2012","25.8","60","60"
"Costa Rica","2011","26","60","60"
"Costa Rica","2010","26.3","60","60"
"Cote d'Ivoire","2008","54.2","61","61"
"Cote d'Ivoire","2002","45.8","61","61"
"Cote d'Ivoire","1998","41.5","61","61"
"Cote d'Ivoire","1993","48.4","61","61"
"Democratic Republic of the Congo","2012","64.9","62","62"
"Dominican Republic","2013","51.2","63","63"
"Dominican Republic","2012","49.4","63","63"
"Dominican Republic","2011","48.4","63","63"
"Dominican Republic","2010","50.4","63","63"
"Dominican Republic","2009","50.8","63","63"
"Dominican Republic","2008","55.2","63","63"
"Dominican Republic","2007","51.8","63","63"
"Dominican Republic","2006","54","63","63"
"Dominican Republic","2005","57","63","63"
"Dominican Republic","2004","59.9","63","63"
"Dominican Republic","2003","55.4","63","63"
"Dominican Republic","2002","47.2","63","63"
"Dominican Republic","2001","47.5","63","63"
"Dominican Republic","2000","47.4","63","63"
"Ecuador","2014","35.3","64","64"
"Ecuador","2013","42","65","65"
"Ecuador","2012","49.1","66","66"
"Ecuador","2011","50.9","67","67"
"Ecuador","2010","53","67","67"
"Ecuador","2009","57.5","67","67"
"Ecuador","2008","59.7","67","67"
"Ecuador","2007","61.3","67","67"
"Ecuador","2006","60.6","67","67"
"Ecuador","2005","64.3","68","68"
"Ecuador","2004","68.8","68","68"
"Ecuador","2003","71.3","68","68"
"Ecuador","2001","72.4","69","69"
"Ecuador","2000","82.2","68","68"
"Egypt","2011","32.3","70","70"
"Egypt","2009","28.9","70","70"
"Egypt","2004","26.8","70","70"
"Egypt","2000","22.1","70","70"
"El Salvador","2013","36","71","71"
"El Salvador","2012","43.3","71","71"
"El Salvador","2011","50.2","71","71"
"El Salvador","2010","43.2","71","71"
"El Salvador","2009","46.5","71","71"
"El Salvador","2008","49","71","71"
"El Salvador","2007","43.8","71","71"
"El Salvador","2006","35.8","71","71"
"El Salvador","2005","42.4","71","71"
"Equatorial Guinea","2006","79.9","72","72"
"Ethiopia","2010","30.4","73","73"
"Ethiopia","2004","39.3","74","74"
"Ethiopia","1999","45.4","74","74"
"Ethiopia","1995","47.5","74","74"
"Fiji","2008","44","75","75"
"Fiji","2002","44.6","75","75"
"Gabon","2005","44.6","76","76"
"Gambia","2010","73.9","77","77"
"Georgia","2012","18.8","",""
"Georgia","2011","21.9","78","78"
"Georgia","2010","24.7","79","79"
"Georgia","2009","20.6","79","79"
"Georgia","2008","21.9","79","79"
"Georgia","2007","24.2","79","79"
"Ghana","2012","37.9","80","80"
"Ghana","2005","43.7","80","80"
"Guatemala","2011","71.4","81","81"
"Guatemala","2006","70.5","81","81"
"Guatemala","2000","74.5","81","81"
"Guinea","2012","64.7","82","82"
"Guinea","2007","63","82","82"
"Guinea","2002","59.9","83","83"
"Guinea","1994","82.1","82","82"
"Guinea-Bissau","2010","75.6","84","84"
"Guinea-Bissau","2002","69.7","85","85"
"Haiti","2012","74.9","86","86"
"Honduras","2013","68.5","87","87"
"Honduras","2012","69.3","87","87"
"Honduras","2011","65.2","88","88"
"Honduras","2010","65.4","88","88"
"Honduras","2009","64.4","88","88"
"Honduras","2008","63.1","88","88"
"Honduras","2007","65.2","88","88"
"Honduras","2006","66.8","88","88"
"Honduras","2005","69.5","88","88"
"Honduras","2004","71.9","88","88"
"Honduras","2003","72.7","88","88"
"Honduras","2002","71.3","88","88"
"Honduras","2001","71.3","88","88"
"India","2011","25.7","89","89"
"India","2009","33.8","90","90"
"India","2004","41.8","91","91"
"India","1993","50.1","92","92"
"Indonesia","2014","14.2","93","93"
"Indonesia","2013","14.3","94","94"
"Indonesia","2012","15.1","93","93"
"Indonesia","2011","15.7","93","93"
"Indonesia","2010","16.6","93","93"
"Indonesia","2009","17.4","93","93"
"Indonesia","2008","18.9","93","93"
"Indonesia","2007","20.4","93","93"
"Indonesia","2006","21.8","93","93"
"Indonesia","2005","20","93","93"
"Indonesia","2004","20.1","93","93"
"Indonesia","2003","20.2","93","93"
"Indonesia","2002","21.1","93","93"
"Indonesia","1999","26","93","93"
"Indonesia","1996","19.8","93","93"
"Iraq","2012","30.6","95","95"
"Iraq","2007","39","96","96"
"Jamaica","2002","25.1","97","97"
"Jamaica","2001","24.1","97","97"
"Jamaica","2000","25.1","97","97"
"Jamaica","1999","22","97","97"
"Jamaica","1998","19.5","97","97"
"Jamaica","1992","42.2","97","97"
"Jamaica","1991","63.9","97","97"
"Jordan","2010","16.8","98","98"
"Kazakhstan","2013","4.9","99","99"
"Kazakhstan","2012","6.1","100","100"
"Kazakhstan","2011","8.8","100","100"
"Kazakhstan","2010","10.1","100","100"
"Kazakhstan","2009","12.1","100","100"
"Kazakhstan","2008","15.9","101","101"
"Kazakhstan","2007","18.1","102","102"
"Kazakhstan","2006","24.4","103","103"
"Kazakhstan","2005","45.6","104","104"
"Kazakhstan","2004","47.1","105","105"
"Kazakhstan","2003","53.2","106","106"
"Kazakhstan","2002","58.4","107","107"
"Kazakhstan","2001","59.4","108","108"
"Kenya","2005","49.1","109","109"
"Kyrgyzstan","2013","41.4","110","110"
"Kyrgyzstan","2012","39.6","111","111"
"Kyrgyzstan","2011","40.4","111","111"
"Kyrgyzstan","2010","39.5","",""
"Kyrgyzstan","2009","37.1","112","112"
"Kyrgyzstan","2008","36.8","113","113"
"Kyrgyzstan","2007","41.7","114","114"
"Kyrgyzstan","2006","47.7","115","115"
"Lao People's Democratic Republic","2012","28.6","116","116"
