"Country or Area","Year","Value","Value Footnotes","Unit"
"Albania","2014","78.0999984741211","1","%"
"Albania","2013","77","2","%"
"Albania","2012","64.5999984741211","","%"
"Albania","2011","64.5999984741211","","%"
"Albania","2010","64.5999984741211","","%"
"Algeria","2012","90","","%"
"Algeria","2011","87","","%"
"Algeria","2010","86","","%"
"Algeria","2009","79","","%"
"Algeria","2008","77.5","","%"
"Algeria","2007","74","","%"
"Algeria","2006","72","","%"
"Algeria","2005","72","","%"
"Algeria","2004","72","","%"
"Algeria","2003","71","","%"
"Algeria","2002","71","","%"
"Algeria","2001","71","","%"
"Algeria","2000","83","","%"
"Algeria","1998","66.3399963378906","","%"
"Algeria","1995","55.7299995422363","","%"
"Algeria","1990","48.3199996948242","","%"
"Andorra","2015","100","","%"
"Andorra","2014","100","","%"
"Andorra","2013","100","","%"
"Andorra","2012","100","","%"
"Andorra","2011","100","","%"
"Andorra","2010","100","","%"
"Andorra","2009","100","","%"
"Andorra","2008","100","","%"
"Andorra","2007","100","","%"
"Andorra","2006","100","","%"
"Andorra","2005","100","","%"
"Andorra","2004","100","","%"
"Andorra","2003","100","","%"
"Andorra","2002","100","","%"
"Andorra","2001","100","","%"
"Andorra","2000","100","","%"
"Andorra","1999","100","","%"
"Argentina","2010","50.2099990844727","","%"
"Argentina","2001","42.5","","%"
"Armenia","2012","68","","%"
"Armenia","2011","69.5999984741211","","%"
"Armenia","2010","69.1999969482422","","%"
"Armenia","2009","67","","%"
"Armenia","2008","66.8000030517578","","%"
"Armenia","2007","67","","%"
"Armenia","2006","66.0999984741211","","%"
"Armenia","2005","65.0999984741211","","%"
"Armenia","2004","61.5999984741211","","%"
"Armenia","2003","60.2000007629395","","%"
"Armenia","2002","58.7999992370605","","%"
"Armenia","2001","62.7999992370605","","%"
"Armenia","2000","63.2999992370605","","%"
"Armenia","1995","64.0999984741211","","%"
"Armenia","1990","62.5999984741211","","%"
"Australia","2004","87","","%"
"Australia","2001","90","","%"
"Austria","2012","94.5","","%"
"Austria","2010","93.9000015258789","","%"
"Austria","2008","92.7200012207031","3","%"
"Austria","2006","91.8099975585938","3","%"
"Austria","2004","88.9000015258789","3","%"
"Austria","2003","88.9000015258789","3","%"
"Austria","2002","86","","%"
"Austria","2001","86","","%"
"Austria","2000","85.4000015258789","","%"
"Austria","1998","80.9000015258789","3","%"
"Austria","1995","75.6999969482422","3","%"
"Austria","1993","75.6999969482422","3","%"
"Austria","1992","72","3","%"
"Austria","1991","72","3","%"
"Austria","1990","72","","%"
"Azerbaijan","2015","32.4000015258789","","%"
"Azerbaijan","2014","32.2999992370605","","%"
"Azerbaijan","2013","32.2000007629395","","%"
"Azerbaijan","2012","32.0999984741211","","%"
"Azerbaijan","2011","31.5","","%"
"Azerbaijan","2010","31.2999992370605","","%"
"Azerbaijan","2009","31.2999992370605","","%"
"Azerbaijan","2008","30.7999992370605","","%"
"Azerbaijan","2007","30.7999992370605","","%"
"Azerbaijan","2006","30.2000007629395","","%"
"Azerbaijan","2005","30.2000007629395","","%"
"Azerbaijan","2004","30","","%"
"Azerbaijan","2003","30","","%"
"Bahrain","2007","88","","%"
"Bahrain","2006","87","","%"
"Bahrain","2005","86","","%"
"Bahrain","2004","83","","%"
"Bahrain","2003","79","","%"
"Bahrain","2002","77","","%"
"Bahrain","2001","75","","%"
"Bahrain","2000","74","","%"
"Bahrain","1999","71","","%"
"Bahrain","1998","69","","%"
"Bahrain","1997","66","","%"
"Bahrain","1996","65","","%"
"Bahrain","1995","64","","%"
"Bahrain","1990","58","","%"
"Belarus","2007","94.9000015258789","4","%"
"Belarus","2006","96.0999984741211","4","%"
"Belarus","2005","98.3000030517578","4","%"
"Belarus","2004","90.8000030517578","4","%"
"Belarus","2003","92.8000030517578","4","%"
"Belarus","2002","94","4","%"
"Belarus","2001","90.0999984741211","4","%"
"Belarus","2000","90.0999984741211","4","%"
"Belarus","1999","92.9000015258789","4","%"
"Belarus","1998","91","4","%"
"Belarus","1997","90.1999969482422","4","%"
"Belarus","1996","94.0999984741211","4","%"
"Belgium","2009","88.3779983520508","3","%"
"Belgium","2008","88.2002029418945","3","%"
"Belgium","2007","87.4220962524414","3","%"
"Belgium","2006","85.3150024414063","3","%"
"Belgium","2005","84.0046005249023","3","%"
"Belgium","2004","83.4823989868164","3","%"
"Belgium","2003","81.8912963867188","3","%"
"Belgium","2002","79.8013000488281","3","%"
"Belgium","2001","79.8480987548828","3","%"
"Belgium","2000","79.1438980102539","3","%"
"Belgium","1999","81.3099975585938","3","%"
"Belgium","1998","81.0899963378906","3","%"
"Belgium","1997","81.1999969482422","3","%"
"Belgium","1996","81.1399993896484","","%"
"Belgium","1995","81.0800018310547","3","%"
"Belize","2010","60.3730010986328","","%"
"Belize","2000","15.1000003814697","","%"
"Belize","1991","15.8000001907349","","%"
"Bermuda","2009","5","","%"
"Bermuda","2008","5","","%"
"Bermuda","2007","5","","%"
"Bermuda","2006","5","","%"
"Bermuda","2005","5","","%"
"Bolivia (Plurinational State of)","2014","50.9213638305664","5","%"
"Bolivia (Plurinational State of)","2013","60.2533226013184","5","%"
"Bolivia (Plurinational State of)","2012","55.1990509033203","5","%"
"Bolivia (Plurinational State of)","2011","48.1069755554199","5","%"
"Bolivia (Plurinational State of)","2009","41.7925033569336","","%"
"Bolivia (Plurinational State of)","2008","45.0609169006348","","%"
"Bolivia (Plurinational State of)","2007","37.7384605407715","","%"
"Bolivia (Plurinational State of)","2006","31.9160251617432","","%"
"Bolivia (Plurinational State of)","2005","36.4000015258789","","%"
"Bolivia (Plurinational State of)","2003","31.3618469238281","6","%"
"Bolivia (Plurinational State of)","2002","30.8999996185303","","%"
"Bolivia (Plurinational State of)","2001","31.0564060211182","","%"
"Bolivia (Plurinational State of)","2000","34.5877876281738","","%"
"Bolivia (Plurinational State of)","1999","32.4739837646484","","%"
"Bolivia (Plurinational State of)","1998","34.4767723083496","","%"
"Bolivia (Plurinational State of)","1997","28.5734748840332","","%"
"Bolivia (Plurinational State of)","1996","25.3351058959961","","%"
"Bosnia and Herzegovina","2015","31","7","%"
"Bosnia and Herzegovina","2014","30","7","%"
"Bosnia and Herzegovina","2013","29","7","%"
"Bosnia and Herzegovina","2012","28","7","%"
"Bosnia and Herzegovina","2011","27","7","%"
"Bosnia and Herzegovina","2010","26","7","%"
"Bosnia and Herzegovina","2009","25","7","%"
"Bosnia and Herzegovina","2008","24","7","%"
"Bosnia and Herzegovina","2007","21","7","%"
"Bosnia and Herzegovina","2006","21","7","%"
"Bosnia and Herzegovina","2005","20","7","%"
"Bosnia and Herzegovina","2004","20","7","%"
"Bosnia and Herzegovina","2003","18","7","%"
"Bosnia and Herzegovina","2002","17","7","%"
"Bosnia and Herzegovina","2001","16","7","%"
"Bosnia and Herzegovina","2000","15","7","%"
"Brazil","1993","45.4000015258789","4","%"
"Brazil","1992","45.5","4","%"
"British Virgin Islands","2001","24.5","","%"
"British Virgin Islands","1991","17.1000003814697","","%"
"Bulgaria","2013","74.6999969482422","","%"
"Bulgaria","2012","74.3000030517578","","%"
"Bulgaria","2011","74.0999984741211","","%"
"Bulgaria","2010","70.5999984741211","","%"
"Bulgaria","2009","70.4000015258789","","%"
"Bulgaria","2008","70","","%"
"Bulgaria","2007","69.6999969482422","","%"
"Bulgaria","2006","69.4000015258789","","%"
"Bulgaria","2005","69","","%"
"Bulgaria","2004","68.6999969482422","","%"
"Bulgaria","2003","68.5999984741211","","%"
"Bulgaria","2002","68.4000015258789","","%"
"Bulgaria","2001","67.9000015258789","","%"
"Bulgaria","2000","66.6999969482422","","%"
"Cabo Verde","2015","20.8999996185303","8","%"
"Cabo Verde","2014","19.7999992370605","8","%"
"Cabo Verde","2013","20.7000007629395","8","%"
"Cabo Verde","2012","19.5","8","%"
"Cabo Verde","2010","17.2999992370605","8","%"
