Country or Area,Time Period,Sex,Age group,Unit of measurement,Nature,Value
World,2015,Female,15+,Percent,Not Available,10.2
World,2015,Female,25+,Percent,Not Available,9.3
World,2015,Male,15 - 24,Percent,Not Available,15.4
World,2015,Male,15+,Percent,Not Available,10.2
World,2015,Male,25+,Percent,Not Available,9.3
World,2015,Total,15 - 24,Percent,Not Available,15.5
World,2015,Total,15+,Percent,Not Available,10.2
World,2015,Total,25+,Percent,Not Available,9.3
World,2015,Female,15 - 24,Percent,Not Available,15.5
World,2010,Total,25+,Percent,Not Available,13.3
World,2010,Male,15 - 24,Percent,Not Available,20.3
World,2010,Female,15 - 24,Percent,Not Available,19.6
World,2010,Female,15+,Percent,Not Available,13.8
World,2010,Female,25+,Percent,Not Available,12.7
World,2010,Male,15+,Percent,Not Available,14.8
World,2010,Male,25+,Percent,Not Available,13.7
World,2010,Total,15 - 24,Percent,Not Available,20
World,2010,Total,15+,Percent,Not Available,14.4
World,2005,Total,25+,Percent,Not Available,17.2
World,2005,Female,15 - 24,Percent,Not Available,24.6
World,2005,Female,15+,Percent,Not Available,18.5
World,2005,Female,25+,Percent,Not Available,17.1
World,2005,Male,15 - 24,Percent,Not Available,24.6
World,2005,Male,15+,Percent,Not Available,18.7
World,2005,Male,25+,Percent,Not Available,17.3
World,2005,Total,15 - 24,Percent,Not Available,24.6
World,2005,Total,15+,Percent,Not Available,18.6
World,2000,Female,15 - 24,Percent,Not Available,35.3
World,2000,Female,15+,Percent,Not Available,28.4
World,2000,Female,25+,Percent,Not Available,26.7
World,2000,Male,15 - 24,Percent,Not Available,33
World,2000,Male,15+,Percent,Not Available,27
World,2000,Male,25+,Percent,Not Available,25.6
World,2000,Total,15 - 24,Percent,Not Available,33.9
World,2000,Total,25+,Percent,Not Available,26
World,2000,Total,15+,Percent,Not Available,27.5
Caucasus and Central Asia,2015,Female,15 - 24,Percent,Not Available,3.1
Caucasus and Central Asia,2015,Female,25+,Percent,Not Available,2.2
Caucasus and Central Asia,2015,Total,15 - 24,Percent,Not Available,4.3
Caucasus and Central Asia,2015,Total,15+,Percent,Not Available,3.5
Caucasus and Central Asia,2015,Total,25+,Percent,Not Available,3.3
Caucasus and Central Asia,2015,Male,25+,Percent,Not Available,4.3
Caucasus and Central Asia,2015,Male,15+,Percent,Not Available,4.4
Caucasus and Central Asia,2015,Male,15 - 24,Percent,Not Available,5.1
Caucasus and Central Asia,2015,Female,15+,Percent,Not Available,2.3
Caucasus and Central Asia,2010,Total,25+,Percent,Not Available,5.8
Caucasus and Central Asia,2010,Male,15+,Percent,Not Available,7.5
Caucasus and Central Asia,2010,Female,15+,Percent,Not Available,4.2
Caucasus and Central Asia,2010,Female,15 - 24,Percent,Not Available,5.4
Caucasus and Central Asia,2010,Female,25+,Percent,Not Available,4
Caucasus and Central Asia,2010,Male,15 - 24,Percent,Not Available,8.7
Caucasus and Central Asia,2010,Male,25+,Percent,Not Available,7.3
Caucasus and Central Asia,2010,Total,15 - 24,Percent,Not Available,7.3
Caucasus and Central Asia,2010,Total,15+,Percent,Not Available,6.1
Caucasus and Central Asia,2005,Female,15 - 24,Percent,Not Available,13.7
Caucasus and Central Asia,2005,Female,25+,Percent,Not Available,10.5
Caucasus and Central Asia,2005,Male,15 - 24,Percent,Not Available,18.6
Caucasus and Central Asia,2005,Male,25+,Percent,Not Available,14.8
Caucasus and Central Asia,2005,Total,15 - 24,Percent,Not Available,16.5
Caucasus and Central Asia,2005,Total,15+,Percent,Not Available,13.5
Caucasus and Central Asia,2005,Total,25+,Percent,Not Available,12.8
Caucasus and Central Asia,2005,Male,15+,Percent,Not Available,15.5
Caucasus and Central Asia,2005,Female,15+,Percent,Not Available,11
Caucasus and Central Asia,2000,Female,15 - 24,Percent,Not Available,24.6
Caucasus and Central Asia,2000,Female,15+,Percent,Not Available,20.3
Caucasus and Central Asia,2000,Female,25+,Percent,Not Available,19.4
Caucasus and Central Asia,2000,Male,15 - 24,Percent,Not Available,28.8
Caucasus and Central Asia,2000,Male,15+,Percent,Not Available,23.9
Caucasus and Central Asia,2000,Male,25+,Percent,Not Available,22.7
Caucasus and Central Asia,2000,Total,15 - 24,Percent,Not Available,27.1
Caucasus and Central Asia,2000,Total,15+,Percent,Not Available,22.3
Caucasus and Central Asia,2000,Total,25+,Percent,Not Available,21.2
Developing regions,2015,Female,15 - 24,Percent,Not Available,18.1
Developing regions,2015,Female,15+,Percent,Not Available,13
Developing regions,2015,Female,25+,Percent,Not Available,12
Developing regions,2015,Male,15 - 24,Percent,Not Available,17.2
Developing regions,2015,Male,15+,Percent,Not Available,12.1
Developing regions,2015,Male,25+,Percent,Not Available,11.2
Developing regions,2015,Total,15 - 24,Percent,Not Available,17.6
Developing regions,2015,Total,15+,Percent,Not Available,12.4
Developing regions,2015,Total,25+,Percent,Not Available,11.5
Developing regions,2010,Female,15 - 24,Percent,Not Available,22.8
Developing regions,2010,Female,15+,Percent,Not Available,17.8
Developing regions,2010,Female,25+,Percent,Not Available,16.7
Developing regions,2010,Male,15 - 24,Percent,Not Available,22.7
Developing regions,2010,Male,15+,Percent,Not Available,17.8
Developing regions,2010,Male,25+,Percent,Not Available,16.8
Developing regions,2010,Total,15 - 24,Percent,Not Available,22.7
Developing regions,2010,Total,15+,Percent,Not Available,17.8
Developing regions,2010,Total,25+,Percent,Not Available,16.7
Developing regions,2005,Female,15 - 24,Percent,Not Available,29
Developing regions,2005,Female,15+,Percent,Not Available,23.9
Developing regions,2005,Female,25+,Percent,Not Available,22.6
Developing regions,2005,Male,15 - 24,Percent,Not Available,27.9
Developing regions,2005,Male,15+,Percent,Not Available,22.8
Developing regions,2005,Male,25+,Percent,Not Available,21.6
Developing regions,2005,Total,15 - 24,Percent,Not Available,28.3
Developing regions,2005,Total,15+,Percent,Not Available,23.3
Developing regions,2005,Total,25+,Percent,Not Available,22
Developing regions,2000,Female,15 - 24,Percent,Not Available,42.1
Developing regions,2000,Female,15+,Percent,Not Available,37.1
Developing regions,2000,Female,25+,Percent,Not Available,35.7
Developing regions,2000,Male,15 - 24,Percent,Not Available,37.9
Developing regions,2000,Male,15+,Percent,Not Available,33.5
Developing regions,2000,Male,25+,Percent,Not Available,32.4
Developing regions,2000,Total,15 - 24,Percent,Not Available,39.6
Developing regions,2000,Total,15+,Percent,Not Available,34.9
Developing regions,2000,Total,25+,Percent,Not Available,33.6
Eastern Asia,2015,Female,15 - 24,Percent,Not Available,6.8
Eastern Asia,2015,Female,15+,Percent,Not Available,5.1
Eastern Asia,2015,Female,25+,Percent,Not Available,4.9
Eastern Asia,2015,Male,15 - 24,Percent,Not Available,7.2
Eastern Asia,2015,Male,15+,Percent,Not Available,4.8
Eastern Asia,2015,Male,25+,Percent,Not Available,4.5
Eastern Asia,2015,Total,15 - 24,Percent,Not Available,7
Eastern Asia,2015,Total,15+,Percent,Not Available,4.9
Eastern Asia,2015,Total,25+,Percent,Not Available,4.7
Eastern Asia,2010,Female,15 - 24,Percent,Not Available,11
Eastern Asia,2010,Female,15+,Percent,Not Available,8.5
Eastern Asia,2010,Female,25+,Percent,Not Available,8
Eastern Asia,2010,Male,15 - 24,Percent,Not Available,11.9
Eastern Asia,2010,Male,15+,Percent,Not Available,8.4
Eastern Asia,2010,Male,25+,Percent,Not Available,7.8
Eastern Asia,2010,Total,15 - 24,Percent,Not Available,11.5
Eastern Asia,2010,Total,15+,Percent,Not Available,8.4
Eastern Asia,2010,Total,25+,Percent,Not Available,7.9
Eastern Asia,2005,Female,15 - 24,Percent,Not Available,16.8
Eastern Asia,2005,Female,15+,Percent,Not Available,13.2
Eastern Asia,2005,Female,25+,Percent,Not Available,12.4
Eastern Asia,2005,Male,15 - 24,Percent,Not Available,17.8
Eastern Asia,2005,Male,15+,Percent,Not Available,13.2
Eastern Asia,2005,Male,25+,Percent,Not Available,12.4
Eastern Asia,2005,Total,15 - 24,Percent,Not Available,17.3
Eastern Asia,2005,Total,15+,Percent,Not Available,13.2
Eastern Asia,2005,Total,25+,Percent,Not Available,12.4
Eastern Asia,2000,Female,15 - 24,Percent,Not Available,40.7
Eastern Asia,2000,Female,15+,Percent,Not Available,34.5
Eastern Asia,2000,Female,25+,Percent,Not Available,33.1
Eastern Asia,2000,Male,15 - 24,Percent,Not Available,40.1
