"Country or Area","Year","Sex","Classification","Subclassification","Coverage","Scope","Source","SourceID","Value","Value Footnotes"
"Andorra","2007","Total men and women","ISIC-Rev.3","Total.","Employees","Earnings per month","Administrative records and related sources","# 0","1810.7",""
"Andorra","2007","Men","ISIC-Rev.3","Total.","Employees","Earnings per month","Administrative records and related sources","# 0","2098.4",""
"Andorra","2007","Women","ISIC-Rev.3","Total.","Employees","Earnings per month","Administrative records and related sources","# 0","1480.9",""
"Andorra","2006","Total men and women","ISIC-Rev.3","Total.","Employees","Earnings per month","Administrative records and related sources","# 0","1726.5",""
"Andorra","2006","Men","ISIC-Rev.3","Total.","Employees","Earnings per month","Administrative records and related sources","# 0","1996.4",""
"Andorra","2006","Women","ISIC-Rev.3","Total.","Employees","Earnings per month","Administrative records and related sources","# 0","1408",""
"Andorra","2005","Total men and women","ISIC-Rev.3","Total.","Employees","Earnings per month","Administrative records and related sources","# 0","1624",""
"Andorra","2005","Men","ISIC-Rev.3","Total.","Employees","Earnings per month","Administrative records and related sources","# 0","1871.7",""
"Andorra","2005","Women","ISIC-Rev.3","Total.","Employees","Earnings per month","Administrative records and related sources","# 0","1325.7",""
"Andorra","2004","Total men and women","ISIC-Rev.3","Total.","Employees","Earnings per month","Administrative records and related sources","# 0","1542.9",""
"Andorra","2004","Men","ISIC-Rev.3","Total.","Employees","Earnings per month","Administrative records and related sources","# 0","1775.9",""
"Andorra","2004","Women","ISIC-Rev.3","Total.","Employees","Earnings per month","Administrative records and related sources","# 0","1261.5",""
"Andorra","2003","Total men and women","ISIC-Rev.3","Total.","Employees","Earnings per month","Administrative records and related sources","# 0","1458.5",""
"Andorra","2003","Men","ISIC-Rev.3","Total.","Employees","Earnings per month","Administrative records and related sources","# 0","1678.9",""
"Andorra","2003","Women","ISIC-Rev.3","Total.","Employees","Earnings per month","Administrative records and related sources","# 0","1191.5",""
"Andorra","2002","Total men and women","ISIC-Rev.3","Total.","Employees","Earnings per month","Administrative records and related sources","# 0","1391.5",""
"Andorra","2001","Total men and women","ISIC-Rev.3","Total.","Employees","Earnings per month","Administrative records and related sources","# 0","1321.8",""
"Andorra","2000","Total men and women","ISIC-Rev.3","Total.","Employees","Earnings per month","Administrative records and related sources","# 0","1249",""
"Andorra","1999","Total men and women","ISIC-Rev.3","Total.","Employees","Earnings per month","Administrative records and related sources","# 0","1185.4",""
"Andorra","1998","Total men and women","ISIC-Rev.3","Total.","Employees","Earnings per month","Administrative records and related sources","# 0","1145.8",""
"Armenia","2008","Total men and women","ISIC-Rev.3","Total.","Employees","Earnings per month","Labour-related establishment survey","# 0","92759",""
"Armenia","2007","Total men and women","ISIC-Rev.3","Total.","Employees","Earnings per month","Labour-related establishment survey","# 0","74227",""
"Armenia","2007","Men","ISIC-Rev.3","Total.","Employees","Earnings per month","Labour-related establishment survey","# 0","96802",""
"Armenia","2007","Women","ISIC-Rev.3","Total.","Employees","Earnings per month","Labour-related establishment survey","# 0","58101",""
