"Country or Area","Year","Value","Value Footnotes","Unit"
"Albania","2012","71","","1000 cubic metres/day"
"Algeria","2012","800","","1000 cubic metres/day"
"Algeria","2011","781","","1000 cubic metres/day"
"Algeria","2010","693","","1000 cubic metres/day"
"Algeria","2009","420","","1000 cubic metres/day"
"Algeria","2008","1090","","1000 cubic metres/day"
"Algeria","2007","880","","1000 cubic metres/day"
"Algeria","2006","610","","1000 cubic metres/day"
"Algeria","2005","520","","1000 cubic metres/day"
"Algeria","2004","520","","1000 cubic metres/day"
"Algeria","2003","410","","1000 cubic metres/day"
"Algeria","2002","410","","1000 cubic metres/day"
"Algeria","2001","350","","1000 cubic metres/day"
"Andorra","2015","54.8199996948242","","1000 cubic metres/day"
"Andorra","2014","54.9370002746582","","1000 cubic metres/day"
"Andorra","2013","56.9669990539551","","1000 cubic metres/day"
"Andorra","2012","51.3712310791016","","1000 cubic metres/day"
"Andorra","2011","46.4000053405762","","1000 cubic metres/day"
"Andorra","2010","45.5790328979492","","1000 cubic metres/day"
"Andorra","2009","47.7000007629395","","1000 cubic metres/day"
"Andorra","2008","41.7999992370605","","1000 cubic metres/day"
"Andorra","2007","35.2000007629395","","1000 cubic metres/day"
"Andorra","2006","32.2999992370605","","1000 cubic metres/day"
"Andorra","2005","6.40000009536743","","1000 cubic metres/day"
"Andorra","2004","8.19999980926514","","1000 cubic metres/day"
"Andorra","2003","9.5","","1000 cubic metres/day"
"Andorra","2002","5.69999980926514","","1000 cubic metres/day"
"Andorra","2001","2.70000004768372","","1000 cubic metres/day"
"Andorra","2000","2.59999990463257","","1000 cubic metres/day"
"Andorra","1999","2.70000004768372","","1000 cubic metres/day"
"Andorra","1998","2.20000004768372","","1000 cubic metres/day"
"Andorra","1997","2.20000004768372","","1000 cubic metres/day"
"Armenia","2000","271","","1000 cubic metres/day"
"Armenia","1999","277","","1000 cubic metres/day"
"Armenia","1998","493","","1000 cubic metres/day"
"Armenia","1997","580","","1000 cubic metres/day"
"Armenia","1996","550","","1000 cubic metres/day"
"Armenia","1995","360","","1000 cubic metres/day"
"Armenia","1990","770","","1000 cubic metres/day"
"Azerbaijan","2015","595","","1000 cubic metres/day"
"Azerbaijan","2014","548","","1000 cubic metres/day"
"Azerbaijan","2013","540","","1000 cubic metres/day"
"Azerbaijan","2012","653.200012207031","","1000 cubic metres/day"
"Azerbaijan","2011","543","","1000 cubic metres/day"
"Azerbaijan","2010","555.599975585938","","1000 cubic metres/day"
"Azerbaijan","2009","547.099975585938","","1000 cubic metres/day"
"Azerbaijan","2008","573.5","","1000 cubic metres/day"
"Azerbaijan","2007","500.200012207031","","1000 cubic metres/day"
"Azerbaijan","2006","511.200012207031","","1000 cubic metres/day"
"Azerbaijan","2005","509.299987792969","","1000 cubic metres/day"
"Azerbaijan","2004","455.299987792969","","1000 cubic metres/day"
"Azerbaijan","2002","533.799987792969","","1000 cubic metres/day"
"Azerbaijan","2001","521.900024414063","","1000 cubic metres/day"
"Azerbaijan","2000","552.599975585938","","1000 cubic metres/day"
"Azerbaijan","1999","543.900024414063","","1000 cubic metres/day"
"Azerbaijan","1998","552.599975585938","","1000 cubic metres/day"
"Azerbaijan","1997","613.799987792969","","1000 cubic metres/day"
"Azerbaijan","1996","615.700012207031","","1000 cubic metres/day"
"Azerbaijan","1995","674.5","","1000 cubic metres/day"
"Azerbaijan","1990","566.5","","1000 cubic metres/day"
"Bahamas","2000","15781","","1000 cubic metres/day"
"Bahamas","1997","15394","","1000 cubic metres/day"
"Bahamas","1996","14804","","1000 cubic metres/day"
"Bahamas","1995","14351","","1000 cubic metres/day"
"Bahamas","1990","1140","","1000 cubic metres/day"
"Barbados","1996","8.80000019073486","","1000 cubic metres/day"
"Belarus","2002","2422","1","1000 cubic metres/day"
"Belarus","2001","2475","1","1000 cubic metres/day"
"Belarus","2000","2421","1","1000 cubic metres/day"
"Belarus","1999","2397","1","1000 cubic metres/day"
"Belarus","1998","2405","1","1000 cubic metres/day"
"Belarus","1997","2380","1","1000 cubic metres/day"
