"INDICATOR","Indicator","LOCATION","Country","TIME","Time","Value","Flag Codes","Flags"
"220174","Total number of indoor cinemas","AUS","Australia","2005","2005",519,,
"220174","Total number of indoor cinemas","AUS","Australia","2006","2006",494,,
"220174","Total number of indoor cinemas","AUS","Australia","2007","2007",485,"+","National Estimation"
"220174","Total number of indoor cinemas","AUS","Australia","2008","2008",493,"+","National Estimation"
"220174","Total number of indoor cinemas","AUS","Australia","2009","2009",492,"+","National Estimation"
"220174","Total number of indoor cinemas","AUS","Australia","2010","2010",481,"+","National Estimation"
"220174","Total number of indoor cinemas","AUS","Australia","2011","2011",474,"+","National Estimation"
"220174","Total number of indoor cinemas","AUS","Australia","2012","2012",474,,
"220174","Total number of indoor cinemas","AUS","Australia","2013","2013",482,,
"220174","Total number of indoor cinemas","AUS","Australia","2014","2014",485,"+","National Estimation"
"220174","Total number of indoor cinemas","AUS","Australia","2015","2015",492,"+","National Estimation"
"220174","Total number of indoor cinemas","AUT","Austria","2005","2005",174,,
"220174","Total number of indoor cinemas","AUT","Austria","2007","2007",163,,
"220174","Total number of indoor cinemas","AUT","Austria","2008","2008",164,,
"220174","Total number of indoor cinemas","AUT","Austria","2009","2009",160,,
"220174","Total number of indoor cinemas","AUT","Austria","2010","2010",160,,
"220174","Total number of indoor cinemas","AUT","Austria","2011","2011",157,,
"220174","Total number of indoor cinemas","AUT","Austria","2012","2012",152,,
"220174","Total number of indoor cinemas","AUT","Austria","2013","2013",133,,
"220174","Total number of indoor cinemas","AUT","Austria","2014","2014",138,,
"220174","Total number of indoor cinemas","AUT","Austria","2015","2015",138,,
"220174","Total number of indoor cinemas","BEL","Belgium","2007","2007",103,,
"220174","Total number of indoor cinemas","BEL","Belgium","2008","2008",97,,
"220174","Total number of indoor cinemas","BEL","Belgium","2009","2009",94,,
"220174","Total number of indoor cinemas","BEL","Belgium","2010","2010",88,,
"220174","Total number of indoor cinemas","BEL","Belgium","2011","2011",108,,
"220174","Total number of indoor cinemas","BEL","Belgium","2012","2012",94,,
"220174","Total number of indoor cinemas","BEL","Belgium","2013","2013",97,,
