"INDICATOR","Indicator","LOCATION","Country","TIME","Time","Value","Flag Codes","Flags"
"20000","Total R&D personnel (FTE) - Total ","AUS","Australia","1996","1996",90691.51,,
"20000","Total R&D personnel (FTE) - Total ","AUS","Australia","1998","1998",91583.4,,
"20000","Total R&D personnel (FTE) - Total ","AUS","Australia","2000","2000",95620.6,,
"20000","Total R&D personnel (FTE) - Total ","AUS","Australia","2002","2002",107209,,
"20000","Total R&D personnel (FTE) - Total ","AUS","Australia","2004","2004",116194.2,,
"20000","Total R&D personnel (FTE) - Total ","AUS","Australia","2006","2006",126701.8,,
"20000","Total R&D personnel (FTE) - Total ","AUS","Australia","2008","2008",137488.7,,
"20000","Total R&D personnel (FTE) - Total ","AUT","Austria","1998","1998",31307.6,,
"20000","Total R&D personnel (FTE) - Total ","AUT","Austria","2002","2002",38893.4,,
"20000","Total R&D personnel (FTE) - Total ","AUT","Austria","2004","2004",42891.3,,
"20000","Total R&D personnel (FTE) - Total ","AUT","Austria","2005","2005",47625.1,,
"20000","Total R&D personnel (FTE) - Total ","AUT","Austria","2006","2006",49377.1,,
"20000","Total R&D personnel (FTE) - Total ","AUT","Austria","2007","2007",53252.3,,
"20000","Total R&D personnel (FTE) - Total ","AUT","Austria","2008","2008",58014.4,,
"20000","Total R&D personnel (FTE) - Total ","AUT","Austria","2009","2009",56437.5,,
"20000","Total R&D personnel (FTE) - Total ","AUT","Austria","2010","2010",59923.3,,
"20000","Total R&D personnel (FTE) - Total ","AUT","Austria","2011","2011",61170.5,,
"20000","Total R&D personnel (FTE) - Total ","AUT","Austria","2012","2012",65088.2,,
"20000","Total R&D personnel (FTE) - Total ","AUT","Austria","2013","2013",66186.1,,
"20000","Total R&D personnel (FTE) - Total ","AUT","Austria","2014","2014",68101.3,,
"20000","Total R&D personnel (FTE) - Total ","AUT","Austria","2015","2015",69318.2,,
"20000","Total R&D personnel (FTE) - Total ","BEL","Belgium","1996","1996",42576.411,,
"20000","Total R&D personnel (FTE) - Total ","BEL","Belgium","1997","1997",44208.374,,
"20000","Total R&D personnel (FTE) - Total ","BEL","Belgium","1998","1998",46416.275,,
"20000","Total R&D personnel (FTE) - Total ","BEL","Belgium","1999","1999",49465.781,,
"20000","Total R&D personnel (FTE) - Total ","BEL","Belgium","2000","2000",53391.406,,
"20000","Total R&D personnel (FTE) - Total ","BEL","Belgium","2001","2001",55949.102,,
"20000","Total R&D personnel (FTE) - Total ","BEL","Belgium","2002","2002",52054.36,,
"20000","Total R&D personnel (FTE) - Total ","BEL","Belgium","2003","2003",52256.468,,
"20000","Total R&D personnel (FTE) - Total ","BEL","Belgium","2004","2004",52252.684,,
"20000","Total R&D personnel (FTE) - Total ","BEL","Belgium","2005","2005",53517.097,,
"20000","Total R&D personnel (FTE) - Total ","BEL","Belgium","2006","2006",55713.75,,
"20000","Total R&D personnel (FTE) - Total ","BEL","Belgium","2007","2007",57963.29,,
"20000","Total R&D personnel (FTE) - Total ","BEL","Belgium","2008","2008",58475.733,,
"20000","Total R&D personnel (FTE) - Total ","BEL","Belgium","2009","2009",59755.895,,
"20000","Total R&D personnel (FTE) - Total ","BEL","Belgium","2010","2010",60074.572,,
"20000","Total R&D personnel (FTE) - Total ","BEL","Belgium","2011","2011",62894.678,,
"20000","Total R&D personnel (FTE) - Total ","BEL","Belgium","2012","2012",67005.495,,
"20000","Total R&D personnel (FTE) - Total ","BEL","Belgium","2013","2013",67898.5,,
"20000","Total R&D personnel (FTE) - Total ","BEL","Belgium","2014","2014",68701.1,,
"20000","Total R&D personnel (FTE) - Total ","BEL","Belgium","2015","2015",77863.71,,
"20000","Total R&D personnel (FTE) - Total ","CAN","Canada","1996","1996",143720,,
"20000","Total R&D personnel (FTE) - Total ","CAN","Canada","1997","1997",145690,,
"20000","Total R&D personnel (FTE) - Total ","CAN","Canada","1998","1998",147862,,
"20000","Total R&D personnel (FTE) - Total ","CAN","Canada","1999","1999",153341,,
"20000","Total R&D personnel (FTE) - Total ","CAN","Canada","2000","2000",167940,,
"20000","Total R&D personnel (FTE) - Total ","CAN","Canada","2001","2001",179180,,
"20000","Total R&D personnel (FTE) - Total ","CAN","Canada","2002","2002",183240,,
"20000","Total R&D personnel (FTE) - Total ","CAN","Canada","2003","2003",196380,,
"20000","Total R&D personnel (FTE) - Total ","CAN","Canada","2004","2004",210470,,
"20000","Total R&D personnel (FTE) - Total ","CAN","Canada","2005","2005",218590,,
"20000","Total R&D personnel (FTE) - Total ","CAN","Canada","2006","2006",229050,,
"20000","Total R&D personnel (FTE) - Total ","CAN","Canada","2007","2007",248640,,
"20000","Total R&D personnel (FTE) - Total ","CAN","Canada","2008","2008",256650,,
"20000","Total R&D personnel (FTE) - Total ","CAN","Canada","2009","2009",236760,,
"20000","Total R&D personnel (FTE) - Total ","CAN","Canada","2010","2010",233060,,
"20000","Total R&D personnel (FTE) - Total ","CAN","Canada","2011","2011",239920,,
"20000","Total R&D personnel (FTE) - Total ","CAN","Canada","2012","2012",231230,,
"20000","Total R&D personnel (FTE) - Total ","CAN","Canada","2013","2013",226620,,
"20000","Total R&D personnel (FTE) - Total ","CZE","Czechia","1996","1996",23501,,
"20000","Total R&D personnel (FTE) - Total ","CZE","Czechia","1997","1997",23230,,
"20000","Total R&D personnel (FTE) - Total ","CZE","Czechia","1998","1998",22740,,
"20000","Total R&D personnel (FTE) - Total ","CZE","Czechia","1999","1999",24106,,
"20000","Total R&D personnel (FTE) - Total ","CZE","Czechia","2000","2000",24198,,
"20000","Total R&D personnel (FTE) - Total ","CZE","Czechia","2001","2001",26107,,
"20000","Total R&D personnel (FTE) - Total ","CZE","Czechia","2002","2002",26032,,
"20000","Total R&D personnel (FTE) - Total ","CZE","Czechia","2003","2003",27957,,
"20000","Total R&D personnel (FTE) - Total ","CZE","Czechia","2004","2004",28765.161,,
"20000","Total R&D personnel (FTE) - Total ","CZE","Czechia","2005","2005",43370.431,,
"20000","Total R&D personnel (FTE) - Total ","CZE","Czechia","2006","2006",47729.12,,
"20000","Total R&D personnel (FTE) - Total ","CZE","Czechia","2007","2007",49191.564,,
"20000","Total R&D personnel (FTE) - Total ","CZE","Czechia","2008","2008",50807.877,,
"20000","Total R&D personnel (FTE) - Total ","CZE","Czechia","2009","2009",50960.834,,
"20000","Total R&D personnel (FTE) - Total ","CZE","Czechia","2010","2010",52290.131,,
"20000","Total R&D personnel (FTE) - Total ","CZE","Czechia","2011","2011",55696.942,,
"20000","Total R&D personnel (FTE) - Total ","CZE","Czechia","2012","2012",60329.444,,
"20000","Total R&D personnel (FTE) - Total ","CZE","Czechia","2013","2013",61975.856,,
"20000","Total R&D personnel (FTE) - Total ","CZE","Czechia","2014","2014",64443.5,,
"20000","Total R&D personnel (FTE) - Total ","CZE","Czechia","2015","2015",66433.4,,
"20000","Total R&D personnel (FTE) - Total ","DNK","Denmark","1996","1996",32148,,
"20000","Total R&D personnel (FTE) - Total ","DNK","Denmark","1997","1997",34187,,
"20000","Total R&D personnel (FTE) - Total ","DNK","Denmark","1998","1998",35194,,
"20000","Total R&D personnel (FTE) - Total ","DNK","Denmark","1999","1999",36452,,
"20000","Total R&D personnel (FTE) - Total ","DNK","Denmark","2000","2000",37693,,
"20000","Total R&D personnel (FTE) - Total ","DNK","Denmark","2001","2001",39892,,
"20000","Total R&D personnel (FTE) - Total ","DNK","Denmark","2002","2002",42406,,
"20000","Total R&D personnel (FTE) - Total ","DNK","Denmark","2003","2003",41607.284,,
"20000","Total R&D personnel (FTE) - Total ","DNK","Denmark","2004","2004",42687.391,,
"20000","Total R&D personnel (FTE) - Total ","DNK","Denmark","2005","2005",43498.567,,
"20000","Total R&D personnel (FTE) - Total ","DNK","Denmark","2006","2006",44877.69,,
"20000","Total R&D personnel (FTE) - Total ","DNK","Denmark","2007","2007",46897.1,,
"20000","Total R&D personnel (FTE) - Total ","DNK","Denmark","2008","2008",58588.764,,
"20000","Total R&D personnel (FTE) - Total ","DNK","Denmark","2009","2009",55918,,
"20000","Total R&D personnel (FTE) - Total ","DNK","Denmark","2010","2010",56623.3,,
"20000","Total R&D personnel (FTE) - Total ","DNK","Denmark","2011","2011",57585,,
"20000","Total R&D personnel (FTE) - Total ","DNK","Denmark","2012","2012",57734.1,,
"20000","Total R&D personnel (FTE) - Total ","DNK","Denmark","2013","2013",57744,,
"20000","Total R&D personnel (FTE) - Total ","DNK","Denmark","2014","2014",58361,,
"20000","Total R&D personnel (FTE) - Total ","DNK","Denmark","2015","2015",59532,,
"20000","Total R&D personnel (FTE) - Total ","FIN","Finland","1997","1997",41256,,
"20000","Total R&D personnel (FTE) - Total ","FIN","Finland","1998","1998",46517,,
