"EDULIT_IND","Indicator","LOCATION","Country","TIME","Time","Value","Flag Codes","Flags"
"26215","Graduates from ISCED 5 programmes in tertiary education, both sexes (number)","SRB","Serbia","2010","2010",,"a","Category not applicable"
"26215","Graduates from ISCED 5 programmes in tertiary education, both sexes (number)","SRB","Serbia","2011","2011",,"a","Category not applicable"
"26215","Graduates from ISCED 5 programmes in tertiary education, both sexes (number)","SRB","Serbia","2012","2012",,"a","Category not applicable"
"26215","Graduates from ISCED 5 programmes in tertiary education, both sexes (number)","SRB","Serbia","2013","2013",,"a","Category not applicable"
"26215","Graduates from ISCED 5 programmes in tertiary education, both sexes (number)","SRB","Serbia","2014","2014",,"a","Category not applicable"
"26215","Graduates from ISCED 5 programmes in tertiary education, both sexes (number)","SRB","Serbia","2015","2015",,"a","Category not applicable"
"26215","Graduates from ISCED 5 programmes in tertiary education, both sexes (number)","CHN","China","2000","2000",992388,,
"26215","Graduates from ISCED 5 programmes in tertiary education, both sexes (number)","CHN","China","2004","2004",2274710,,
"26215","Graduates from ISCED 5 programmes in tertiary education, both sexes (number)","CHN","China","2005","2005",2761526,,
"26215","Graduates from ISCED 5 programmes in tertiary education, both sexes (number)","CHN","China","2006","2006",2943740,,
"26215","Graduates from ISCED 5 programmes in tertiary education, both sexes (number)","CHN","China","2007","2007",2999401,,
"26215","Graduates from ISCED 5 programmes in tertiary education, both sexes (number)","CHN","China","2008","2008",3717714,,
"26215","Graduates from ISCED 5 programmes in tertiary education, both sexes (number)","CHN","China","2009","2009",4122012,,
"26215","Graduates from ISCED 5 programmes in tertiary education, both sexes (number)","CHN","China","2010","2010",4144596,,
"26215","Graduates from ISCED 5 programmes in tertiary education, both sexes (number)","CHN","China","2011","2011",4452518,,
"26215","Graduates from ISCED 5 programmes in tertiary education, both sexes (number)","CHN","China","2012","2012",4584976,,
"26215","Graduates from ISCED 5 programmes in tertiary education, both sexes (number)","CHN","China","2013","2013",4513708,,
"26215","Graduates from ISCED 5 programmes in tertiary education, both sexes (number)","CHN","China","2014","2014",5647170,,
