Country or Area,Rate
China,4
Timor-Leste,10.1
Cuba,12.9
Lesotho,13
Maldives,7.2
Moldova,8.6
Saint Kitts and Nevis,4.2
Botswana,7.8
Djibouti,8.4
Burundi,6.1
Monaco,1.6
Denmark,8.7
Swaziland,7.8
Comoros,7.6
Iceland,7.8
Tunisia,6.2
Kenya,6.7
Norway,6.9
Tanzania,6.2
Barbados,7.5
Saint Vincent and the Grenadines,5.1
Sweden,7
Argentina,5.8
Malta,5.4
Namibia,8.4
Bolivia,7.6
Costa Rica,6.3
Guyana,3.6
New Zealand,7.2
South Africa,6
Belgium,6.6
Cape Verde,5.6
Fiji,4.1
Finland,6.8
Israel,6
Kyrgyzstan,5.8
Jamaica,6.4
Senegal,5.6
Belize,6.6
Samoa,5.8
Slovenia,5.7
France,5.9
Mongolia,5.5
Morocco,5.4
Saudi Arabia,5.6
Ethiopia,4.7
United Kingdom,5.6
United States,5.6
Austria,6
Ghana,8.2
Netherlands,6
Ukraine,5.3
Vietnam,6.6
Hungary,4.9
Malawi,5.4
Portugal,5.8
Solomon Islands,7.3
Switzerland,5.4
Yemen,5.2
Brazil,5.8
South Korea,5
Latvia,5
Mozambique,5
Seychelles,4.8
Albania,3.3
Canada,5.5
Ireland,6.5
Poland,5.2
Syria,5.1
Bhutan,4.7
Colombia,4.5
Estonia,5.7
Mexico,5.3
Vanuatu,5.2
Dominica,3.5
Iran,4.7
Lithuania,5.4
Serbia,4.7
Burkina Faso,3.4
Côte d'Ivoire,4.6
Croatia,4.3
Nepal,4.7
Togo,4.6
Zimbabwe,2.5
Australia,5.1
Belarus,5.2
Germany,5.1
Hong Kong,3.4
Niger,4.5
Saint Lucia,4.4
Uruguay,2.9
Mali,4.7
Algeria,4.3
Italy,4.5
Romania,4.2
Sierra Leone,2.7
Spain,5
Czech Republic,4.2
Bulgaria,4.1
Cyprus,7.3
Malaysia,5.1
Qatar,2.5
Rwanda,4.8
Thailand,5.8
Chile,4.1
Greece,4.1
Paraguay,4.1
Nicaragua,4.7
Oman,4.3
Russia,4.1
Egypt,3.8
Kuwait,3.8
Panama,4.1
Brunei,3.3
Cameroon,3.2
Venezuela,3.6
El Salvador,3.4
Slovakia,4.2
Benin,5.3
Japan,3.8
Tajikistan,3.9
Andorra,3
Chad,2.6
Georgia,2.7
Guatemala,2.8
Mauritius,3.7
Uganda,3.3
India,3.3
Armenia,3.1
Madagascar,2.8
Singapore,3.3
Bahrain,2.9
Mauritania,3.7
Azerbaijan,2.8
Indonesia,2.8
Kazakhstan,3.1
Liberia,1.9
Philippines,2.7
Antigua and Barbuda,2.5
Gambia,3.9
Pakistan,2.4
Peru,2.6
Angola,3.5
Sri Lanka,2
Turkey,2.9
Democratic Republic of the Congo,2.5
Bangladesh,2.2
Guinea,3.1
Dominican Republic,2.2
Laos,3.3
Cambodia,2.6
Eritrea,2.1
Liechtenstein,2.1
Afghanistan,3.1
Congo,6.2
Lebanon,1.6
Central African Republic,1.2
Ecuador,5.2
Zambia,1.3
Myanmar,0.8
Guinea-Bissau,2.1
Sao Tome and Principe,6
Turkmenistan,3
Trinidad and Tobago,3.8
Marshall Islands,14.6
Kiribati,11
Palau,9.8
Micronesia,6.7
Tonga,4.9
Gabon,3.8
Bahamas,2.8
United Arab Emirates,1.3
Equatorial Guinea,0.7
Libya,2.3
Jordan,4.9
San Marino,3.2
Tuvalu,7.6
Iraq,2.3
Honduras,3
Luxembourg,4.6
